sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock
5656B,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 6x9,Bag Merch Frosty Solid 6x9,,0,1,Taxable Goods,"Catalog, Search",39.48,,,,bag-merch-frosty-solid-6x9-5656B,,,,/5656B_base.jpg,Bag Merch Frosty Solid 6x9 base image,/5656B_base.jpg,Bag Merch Frosty Solid 6x9 small image,/5656B_base.jpg,Bag Merch Frosty Solid 6x9 thumbnail,,,,,,,,1,0,1,base,0,0
5656G,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 6x9,Bag Merch Frosty Solid 6x9,,0,1,Taxable Goods,"Catalog, Search",39.48,,,,bag-merch-frosty-solid-6x9-5656G,,,,/5656G_base.jpg,Bag Merch Frosty Solid 6x9 base image,/5656G_base.jpg,Bag Merch Frosty Solid 6x9 small image,/5656G_base.jpg,Bag Merch Frosty Solid 6x9 thumbnail,,,,,,,,1,0,1,base,0,0
5656R,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 6x9 Red,Bag Merch Frosty Solid 6x9 Red,,0,1,Taxable Goods,"Catalog, Search",39.48,,,,bag-merch-frosty-solid-6x9-red-5656R,,,,/5656R_base.jpg,Bag Merch Frosty Solid 6x9 Red base image,/5656R_base.jpg,Bag Merch Frosty Solid 6x9 Red small image,/5656R_base.jpg,Bag Merch Frosty Solid 6x9 Red thumbnail,,,,,,,,1,0,1,base,0,0
5656W,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 6x9,Bag Merch Frosty Solid 6x9,,0,1,Taxable Goods,"Catalog, Search",39.48,,,,bag-merch-frosty-solid-6x9-5656W,,,,/5656W_base.jpg,Bag Merch Frosty Solid 6x9 base image,/5656W_base.jpg,Bag Merch Frosty Solid 6x9 small image,/5656W_base.jpg,Bag Merch Frosty Solid 6x9 thumbnail,,,,,,,,1,0,1,base,0,0
5657B,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 9x12,Bag Merch Frosty Solid 9x12,,0,1,Taxable Goods,"Catalog, Search",73.3,,,,bag-merch-frosty-solid-9x12-5657B,,,,/5657B_base.jpg,Bag Merch Frosty Solid 9x12 base image,/5657B_base.jpg,Bag Merch Frosty Solid 9x12 small image,/5657B_base.jpg,Bag Merch Frosty Solid 9x12 thumbnail,,,,,,,,1,0,1,base,0,0
5657G,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 9x12,Bag Merch Frosty Solid 9x12,,0,1,Taxable Goods,"Catalog, Search",73.3,,,,bag-merch-frosty-solid-9x12-5657G,,,,/5657G_base.jpg,Bag Merch Frosty Solid 9x12 base image,/5657G_base.jpg,Bag Merch Frosty Solid 9x12 small image,/5657G_base.jpg,Bag Merch Frosty Solid 9x12 thumbnail,,,,,,,,1,0,1,base,0,0
5657R,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 9x12Red,Bag Merch Frosty Solid 9x12Red,,0,1,Taxable Goods,"Catalog, Search",73.3,,,,bag-merch-frosty-solid-9x12red-5657R,,,,/5657R_base.jpg,Bag Merch Frosty Solid 9x12Red base image,/5657R_base.jpg,Bag Merch Frosty Solid 9x12Red small image,/5657R_base.jpg,Bag Merch Frosty Solid 9x12Red thumbnail,,,,,,,,1,0,1,base,0,0
5657W,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 9x12,Bag Merch Frosty Solid 9x12,,0,1,Taxable Goods,"Catalog, Search",73.3,,,,bag-merch-frosty-solid-9x12-5657W,,,,/5657W_base.jpg,Bag Merch Frosty Solid 9x12 base image,/5657W_base.jpg,Bag Merch Frosty Solid 9x12 small image,/5657W_base.jpg,Bag Merch Frosty Solid 9x12 thumbnail,,,,,,,,1,0,1,base,0,0
5658B,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 12x15,Bag Merch Frosty Solid 12x15,,0,1,Taxable Goods,"Catalog, Search",113.4,,,,bag-merch-frosty-solid-12x15-5658B,,,,/5658B_base.jpg,Bag Merch Frosty Solid 12x15 base image,/5658B_base.jpg,Bag Merch Frosty Solid 12x15 small image,/5658B_base.jpg,Bag Merch Frosty Solid 12x15 thumbnail,,,,,,,,1,0,1,base,0,0
5658G,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Merch Frosty Solid 12x15,Bag Merch Frosty Solid 12x15,,0,1,Taxable Goods,"Catalog, Search",113.4,,,,bag-merch-frosty-solid-12x15-5658G,,,,/5658G_base.jpg,Bag Merch Frosty Solid 12x15 base image,/5658G_base.jpg,Bag Merch Frosty Solid 12x15 small image,/5658G_base.jpg,Bag Merch Frosty Solid 12x15 thumbnail,,,,,,,,1,0,1,base,0,0
