sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock,errors
6811E,,Default,simple,"Default Category/Display Cases/Place Holder","Showcase Oak Toc Oct. Lighted","Showcase Oak Toc Oct. Lighted",,0,1,"Taxable Goods","Catalog, Search",771.94,,,,showcase-oak-toc-oct.-lighted-6811E,,,,/6811E_base.jpg,"Showcase Oak Toc Oct. Lighted base image",/6811E_base.jpg,"Showcase Oak Toc Oct. Lighted small image",/6811E_base.jpg,"Showcase Oak Toc Oct. Lighted thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
6811SFL,,Default,simple,"Default Category/Display Cases/Place Holder","Showcs Sq TOC Classic FV Style","Showcs Sq TOC Classic FV Style",,0,1,"Taxable Goods","Catalog, Search",858.09,,,,showcs-sq-toc-classic-fv-style-6811SFL,,,,/6811SFL_base.jpg,"Showcs Sq TOC Classic FV Style base image",/6811SFL_base.jpg,"Showcs Sq TOC Classic FV Style small image",/6811SFL_base.jpg,"Showcs Sq TOC Classic FV Style thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
6812NW,,Default,simple,"Default Category/Display Cases/Place Holder","Bench New World Closed Sides","Bench New World Closed Sides",,0,1,"Taxable Goods","Catalog, Search",460.86,,,,bench-new-world-closed-sides-6812NW,,,,/6812NW_base.jpg,"Bench New World Closed Sides base image",/6812NW_base.jpg,"Bench New World Closed Sides small image",/6812NW_base.jpg,"Bench New World Closed Sides thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
6812NWL,,Default,simple,"Default Category/Display Cases/Place Holder","Showcase Rect Toc New World","Showcase Rect Toc New World",,0,1,"Taxable Goods","Catalog, Search",818.31,,,,showcase-rect-toc-new-world-6812NWL,,,,/6812NWL_base.jpg,"Showcase Rect Toc New World base image",/6812NWL_base.jpg,"Showcase Rect Toc New World small image",/6812NWL_base.jpg,"Showcase Rect Toc New World thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
6813NWL,,Default,simple,"Default Category/Display Cases/Place Holder","Showcase Hex Toc New World","Showcase Hex Toc New World",,0,1,"Taxable Goods","Catalog, Search",845.03,,,,showcase-hex-toc-new-world-6813NWL,,,,/6813NWL_base.jpg,"Showcase Hex Toc New World base image",/6813NWL_base.jpg,"Showcase Hex Toc New World small image",/6813NWL_base.jpg,"Showcase Hex Toc New World thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
6815C,,Default,simple,"Default Category/Display Cases/Place Holder","Showcase Cherry Full View 5","Showcase Cherry Full View 5",,0,1,"Taxable Goods","Catalog, Search",324.64,,,,showcase-cherry-full-view-5-6815C,,,,/6815C_base.jpg,"Showcase Cherry Full View 5 base image",/6815C_base.jpg,"Showcase Cherry Full View 5 small image",/6815C_base.jpg,"Showcase Cherry Full View 5 thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
6822,,Default,simple,"Default Category/Display Cases/Place Holder","Shelf Rests Plastic For Glass","Shelf Rests Plastic For Glass",,0,1,"Taxable Goods","Catalog, Search",0.35,,,,shelf-rests-plastic-for-glass-6822,,,,/6822_base.jpg,"Shelf Rests Plastic For Glass base image",/6822_base.jpg,"Shelf Rests Plastic For Glass small image",/6822_base.jpg,"Shelf Rests Plastic For Glass thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
6822C,,Default,simple,"Default Category/General Store Operations/Merchandising Aids/Hooks & Clips","Shelf Rests Chrome for 1/4""","Shelf Rests Chrome for 1/4""",,0,1,"Taxable Goods","Catalog, Search",0.22,,,,"shelf-rests-chrome-for-14""-6822C",,,,/6822C_base.jpg,"Shelf Rests Chrome for 1/4"" base image",/6822C_base.jpg,"Shelf Rests Chrome for 1/4"" small image",/6822C_base.jpg,"Shelf Rests Chrome for 1/4"" thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
6823ML,,Default,simple,"Default Category/Display Cases/Place Holder","SHOWCS,STRCH,W/SIDEDOORS/MIR3","SHOWCS,STRCH,W/SIDEDOORS/MIR3",,0,1,"Taxable Goods","Catalog, Search",1080.88,,,,showcs-strch-wsidedoorsmir3-6823ML,,,,/6823ML_base.jpg,"SHOWCS,STRCH,W/SIDEDOORS/MIR3 base image",/6823ML_base.jpg,"SHOWCS,STRCH,W/SIDEDOORS/MIR3 small image",/6823ML_base.jpg,"SHOWCS,STRCH,W/SIDEDOORS/MIR3 thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
6824,,Default,simple,"Default Category/Display Cases/Place Holder","Showcase Oak Island Classic","Showcase Oak Island Classic",,0,1,"Taxable Goods","Catalog, Search",1460.61,,,,showcase-oak-island-classic-6824,,,,/6824_base.jpg,"Showcase Oak Island Classic base image",/6824_base.jpg,"Showcase Oak Island Classic small image",/6824_base.jpg,"Showcase Oak Island Classic thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
