578027,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Super Frost Wave Blue,"<div><p align=""left""><span style=""FONT-FAMILY: Verdana""><span style=""FONT-FAMILY: Verdana""><table style=""HEIGHT: 55px; WIDTH: 36px"" bordercolor=""#ce0a00"" cellspacing=""0"" cellpadding=""0"" align=""left""><tbody><tr><td><font size=""2""><img style=""HEIGHT: 36px; LEFT: 2px; TOP: 9px; WIDTH: 45px"" hspace=""2"" src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg""></font></td><td><font color=""#008000"" size=""2"" face=""Tahoma""></font></td></tr></tbody></table><font size=""2""><font color=""#000000""><font size=""2"">These SuperWave Frosted Bags are translucent, 2.25 mil thick, and packaged 250 per case.&nbsp; <br></font><font color=""#000000""><font size=""2""><font color=""#000000"">Made with 15% to 25% recycled material.</font>&nbsp;Made in the U.S.A.</font></font></font></font></span></span></p><p align=""left""><span style=""FONT-FAMILY: Verdana""><span style=""FONT-FAMILY: Verdana""><font size=""2""><font color=""#000000""><font color=""#000000""><font size=""2""><span><img src=""Https://is30.eporia.com/company_8/533356.jpg?cvt=jpeg""></span></font></font></font></font></span></span></p></div>",Super Wave Frosted Bags,13.8,1,Taxable Goods,"Catalog, Search",49.72,,,,bag-super-frost-wave-blue-578027,"Frosted Plastic Bags, Super Frost Tint Wave Bags, Retail Store Packaging Supplies",plastic bags frosted tinted wave plastic bag retail packaging supplies,"Super Frost Tint Wave Bags - Frosted plastic bags for retail stores, bag colors include blue, clear, pink, green and purple.",/578027_base.jpg,Bag Super Frost Wave Blue base image,/578027_base.jpg,Bag Super Frost Wave Blue small image,/578027_base.jpg,Bag Super Frost Wave Blue thumbnail,,,,,,,,1,0,1,base,0,0
578028,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Super Frost Wave Pink,"<div><p align=""left""><span style=""FONT-FAMILY: Verdana""><span style=""FONT-FAMILY: Verdana""><table style=""HEIGHT: 55px; WIDTH: 36px"" bordercolor=""#ce0a00"" cellspacing=""0"" cellpadding=""0"" align=""left""><tbody><tr><td><font size=""2""><img style=""HEIGHT: 36px; LEFT: 2px; TOP: 9px; WIDTH: 45px"" hspace=""2"" src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg""></font></td><td><font color=""#008000"" size=""2"" face=""Tahoma""></font></td></tr></tbody></table><font size=""2""><font color=""#000000""><font size=""2"">These SuperWave Frosted Bags are translucent, 2.25 mil thick, and packaged 250 per case.&nbsp; <br></font><font color=""#000000""><font size=""2""><font color=""#000000"">Made with 15% to 25% recycled material.</font>&nbsp;Made in the U.S.A.</font></font></font></font></span></span></p><p align=""left""><span style=""FONT-FAMILY: Verdana""><span style=""FONT-FAMILY: Verdana""><font size=""2""><font color=""#000000""><font color=""#000000""><font size=""2""><span><img src=""Https://is30.eporia.com/company_8/533356.jpg?cvt=jpeg""></span></font></font></font></font></span></span></p></div>",Super Wave Frosted Bags,13.8,1,Taxable Goods,"Catalog, Search",49.72,,,,bag-super-frost-wave-pink-578028,"Frosted Plastic Bags, Super Frost Tint Wave Bags, Retail Store Packaging Supplies",plastic bags frosted tinted wave plastic bag retail packaging supplies,"Super Frost Tint Wave Bags - Frosted plastic bags for retail stores, bag colors include blue, clear, pink, green and purple.",/578028_base.jpg,Bag Super Frost Wave Pink base image,/578028_base.jpg,Bag Super Frost Wave Pink small image,/578028_base.jpg,Bag Super Frost Wave Pink thumbnail,,,,,,,,1,0,1,base,0,0
57802E,,Default,simple,Default Category/Shopping Bags/Place Holder,Bag Super Wave 18 x 16 +9,"<font size=2 face=Verdana><font size=+0><font size=2></font></font> 
<p align=left><span style=""FONT-FAMILY: Verdana""><span style=""FONT-FAMILY: Verdana""><font size=1><strong><font size=2 face=Verdana>
<table style=""HEIGHT: 55px; WIDTH: 38px"" align=left>
<tbody>
<tr>
<td><img style=""HEIGHT: 40px; WIDTH: 43px; LEFT: 2px; TOP: 9px"" hspace=2 src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg""></td>
<td><font color=#008000><font size=2><span style=""FONT-SIZE: 10pt; FONT-FAMILY: Tahoma; COLOR: green"">
<p style=""TEXT-ALIGN: center; LINE-HEIGHT: 11pt"" align=center><span><strong><span style=""FONT-FAMILY: Tahoma""></span></strong></span></span></font></font>&nbsp;</p></td>
