sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock
54P4175,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/Holstein Collection/Boxes & Packaging,Box 1-Piece 9x9x3 Holstein,"<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Holstein pattern gift boxes are so fun and easy&nbsp;to use for your customers purchases.<br>Order&nbsp;boxes by the package.</span><br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each package </span></font>has 50 boxes, unless otherwise listed.</font></div></font></div>",Holstein,32.2,1,Taxable Goods,"Catalog, Search",171,,,,box-1-piece-9x9x3-holstein-54P4175,Decorative Corrugated Boxes - Holstein Print,decorative gift boxes packaging cardboard gift box cow print,Decorative cardboard gift boxes in black and white cow print available in multiple sizes for all your retail and bulk gift packaging needs.,/54P4175_base.jpg,Box 1-Piece 9x9x3 Holstein base image,/54P4175_base.jpg,Box 1-Piece 9x9x3 Holstein small image,/54P4175_base.jpg,Box 1-Piece 9x9x3 Holstein thumbnail,,,,,,,,1,0,1,base,0,0
54P4176,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/Holstein Collection/Boxes & Packaging,Box 1-Piece 12x9x3 Holstein,"<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Holstein pattern gift boxes are so fun and easy&nbsp;to use for your customers purchases.<br>Order&nbsp;boxes by the package.</span><br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each package </span></font>has 50 boxes, unless otherwise listed.</font></div></font></div>",Holstein,41.4,1,Taxable Goods,"Catalog, Search",207,,,,box-1-piece-12x9x3-holstein-54P4176,Decorative Corrugated Boxes - Holstein Print,decorative gift boxes packaging cardboard gift box cow print,Decorative cardboard gift boxes in black and white cow print available in multiple sizes for all your retail and bulk gift packaging needs.,/54P4176_base.jpg,Box 1-Piece 12x9x3 Holstein base image,/54P4176_base.jpg,Box 1-Piece 12x9x3 Holstein small image,/54P4176_base.jpg,Box 1-Piece 12x9x3 Holstein thumbnail,,,,,,,,1,0,1,base,0,0
54P4179,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/White Kraft Collection/Boxes & Packaging,Box 1-Piece 16x10.25x4.5 White,"<div>
<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Create your own look by using White Kraft gift boxes along with attractive <a href=""http://arsv2.eporiaservices.com/64492/Bows--Ribbon-V2.html""><font color=#0000ff>Bows and Ribbons</font></a>.<br>Order&nbsp;boxes by the package.</span><br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each package </span></font>has 50 boxes, unless otherwise listed.</font></div></font></div></div>",White Kraft,37.95,1,Taxable Goods,"Catalog, Search",116.7,,,,box-1-piece-16x10.25x4.5-white-54P4179,White Kraft Decorative Corrugated Boxes,decorative gift box packaging cardboard wine gift boxes corrugated white kraft,Decorative cardboard gift boxes in white kraft color available in multiple sizes. Shop online for bulk quanities of retail and gift supplies at AmericanRetailSupply.com.,/54P4179_base.jpg,Box 1-Piece 16x10.25x4.5 White base image,/54P4179_base.jpg,Box 1-Piece 16x10.25x4.5 White small image,/54P4179_base.jpg,Box 1-Piece 16x10.25x4.5 White thumbnail,,,,,,,,1,0,1,base,0,0
54P4180,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/Kraft Collection/Boxes & Packaging,Box 1-Piece 16x10.25x4.5 Kraft,"<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">These wonderful Red Satin finished Gift Boxes are perfect for all gift occasions including Christmas and holidays. Offer your customers beautiful packaging for their gift giving needs that they’ll be sure to remember! Two bottle divider is&nbsp;item # <a href=""http://arsv2.eporiaservices.com/22217/732233/Decorative-Corrugated-Boxes/Inserts-and-Dividers.html""><font color=#0000ff>54P4088</font></a> used in 54P3970 (<span id=ctl00_contentPH_dgItems_ctl13_VariantLabel>13 1/8"" x 7 1/8"" x 3 1/2"", 50 per pack) </span>available for purchase <a href=""http://arsv2.eporiaservices.com/22217/732233/Decorative-Corrugated-Boxes/Inserts-and-Dividers.html""><font color=#0000ff>here</font></a>.<br>Order&nbsp;boxes by the package.</span><br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each package</span></font>&nbsp;has 50 boxes, unless otherwise listed.<br><br></font></div></font></div>",Red Satin Gift Boxes,37.95,1,Taxable Goods,"Catalog, Search",112.5,,,,box-1-piece-16x10.25x4.5-kraft-54P4180,"Red Gift Boxes - Special Occasion, Holiday and Christmas Gift Boxes and Packaging Supplies","gift box, christmas gift boxes","Gift boxes for Christmas and holiday gift wrapping, order gift boxes and packaging supplies for your retail store online.",/54P4180_base.jpg,Box 1-Piece 16x10.25x4.5 Kraft base image,/54P4180_base.jpg,Box 1-Piece 16x10.25x4.5 Kraft small image,/54P4180_base.jpg,Box 1-Piece 16x10.25x4.5 Kraft thumbnail,,,,,,,,1,0,1,base,0,0
54P4193,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/Hunter Green Satin Collection/Boxes & Packaging,Box 1-Piece 12x12x3 Hunter,"<div>
<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Festive printing with either as&nbsp;Red &amp; or Hunter Green Bows Gift Boxes are perfect for packaging gifts for customers that are on the go.&nbsp;This&nbsp;is a great way to&nbsp;add a bonus to your store’s level of customer service for items purchased during special occasions such as holidays or Christmas&nbsp;make them&nbsp;quick and easy to use.<br>Order boxes by the package.<br>Each package has 50 boxes, unless otherwise noted.</span></font></font></div></font></div></div>",Red & Hunter Green Bows Gift Boxes,40.25,1,Taxable Goods,"Catalog, Search",219,,,,box-1-piece-12x12x3-hunter-54P4193,"Gift Boxes for Christmas, Holidays, and Special Occasions, Printed with Red or Green Bows","gift boxes, christmas gift boxes","Gift boxes with printed bows in red or green, order holiday and Christmas gift boxes and packaging supplies for your retail store online.",/54P4193_base.jpg,Box 1-Piece 12x12x3 Hunter base image,/54P4193_base.jpg,Box 1-Piece 12x12x3 Hunter small image,/54P4193_base.jpg,Box 1-Piece 12x12x3 Hunter thumbnail,,,,,,,,1,0,1,base,0,0
54P4197,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/White Kraft Collection/Boxes & Packaging,Box 1-Piece 12x9x1-3/4 White,"<div>
<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Create your own look by using White Kraft gift boxes along with attractive <a href=""http://arsv2.eporiaservices.com/64492/Bows--Ribbon-V2.html""><font color=#0000ff>Bows and Ribbons</font></a>.<br>Order&nbsp;boxes by the package.</span><br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each package </span></font>has 50 boxes, unless otherwise listed.</font></div></font></div></div>",White Kraft,17.25,1,Taxable Goods,"Catalog, Search",141,,,,box-1-piece-12x9x1-34-white-54P4197,White Kraft Decorative Corrugated Boxes,decorative gift box packaging cardboard wine gift boxes corrugated white kraft,Decorative cardboard gift boxes in white kraft color available in multiple sizes. Shop online for bulk quanities of retail and gift supplies at AmericanRetailSupply.com.,/54P4197_base.jpg,Box 1-Piece 12x9x1-3/4 White base image,/54P4197_base.jpg,Box 1-Piece 12x9x1-3/4 White small image,/54P4197_base.jpg,Box 1-Piece 12x9x1-3/4 White thumbnail,,,,,,,,1,0,1,base,0,0
54P4203,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/Red & Hunter Green Bows Collection/Boxes & Packaging,Box 1-PC 16x10.25x4.5 Red Bows,"<div>
<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Festive printing with either as&nbsp;Red &amp; or Hunter Green Bows Gift Boxes are perfect for packaging gifts for customers that are on the go.&nbsp;This&nbsp;is a great way to&nbsp;add a bonus to your store’s level of customer service for items purchased during special occasions such as holidays or Christmas&nbsp;make them&nbsp;quick and easy to use.<br>Order boxes by the package.<br>Each package has 50 boxes, unless otherwise noted.</span></font></font></div></font></div></div>",Red & Hunter Green Bows Gift Boxes,37.95,1,Taxable Goods,"Catalog, Search",128.7,,,,box-1-pc-16x10.25x4.5-red-bows-54P4203,"Gift Boxes for Christmas, Holidays, and Special Occasions, Printed with Red or Green Bows","gift boxes, christmas gift boxes","Gift boxes with printed bows in red or green, order holiday and Christmas gift boxes and packaging supplies for your retail store online.",/54P4203_base.jpg,Box 1-PC 16x10.25x4.5 Red Bows base image,/54P4203_base.jpg,Box 1-PC 16x10.25x4.5 Red Bows small image,/54P4203_base.jpg,Box 1-PC 16x10.25x4.5 Red Bows thumbnail,,,,,,,,1,0,1,base,0,0
54P4212,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/Silver Satin Plated Collection/Boxes & Packaging,Box 1-Piece 8x8x3 Silver,"<div>
<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Silver Plated look for these boxes is so elegant. Let your creativity go with the possibilities. Three bottle divider is item <a href=""http://arsv2.eporiaservices.com/22217/732233/Decorative-Corrugated-Boxes/Inserts-and-Dividers.html""><font color=#0000ff>54P4067</font></a>&nbsp;used in 54P3635 (<span id=ctl00_contentPH_dgItems_ctl07_VariantLabel>11 3/4"" x 14"" x 4 1/4"", 25 per pack).</span><br>Order&nbsp;boxes by the package.</span><br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each package </span></font>has 50 boxes, unless otherwise listed.<br><br></font></div></font></div></div>",Silver Plated,30,1,Taxable Goods,"Catalog, Search",195,,,,box-1-piece-8x8x3-silver-54P4212,"Silver Decorative Boxes, Retail Packaging Boxes",decorative boxes silver retail packaging corrugated boxes wholesale,"Decorative corrugated boxes for sale online, order decorative retail packaging boxes including these silver plated looking boxes at American Retail Supply.",/54P4212_base.jpg,Box 1-Piece 8x8x3 Silver base image,/54P4212_base.jpg,Box 1-Piece 8x8x3 Silver small image,/54P4212_base.jpg,Box 1-Piece 8x8x3 Silver thumbnail,,,,,,,,1,0,1,base,0,0
54P4215,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/Silver Satin Plated Collection/Boxes & Packaging,Box 1-PC 10.5x10.5x3.5 Silver,"<div>
<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Silver Plated look for these boxes is so elegant. Let your creativity go with the possibilities. Three bottle divider is item <a href=""http://arsv2.eporiaservices.com/22217/732233/Decorative-Corrugated-Boxes/Inserts-and-Dividers.html""><font color=#0000ff>54P4067</font></a>&nbsp;used in 54P3635 (<span id=ctl00_contentPH_dgItems_ctl07_VariantLabel>11 3/4"" x 14"" x 4 1/4"", 25 per pack).</span><br>Order&nbsp;boxes by the package.</span><br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each package </span></font>has 50 boxes, unless otherwise listed.<br><br></font></div></font></div></div>",Silver Plated,47.15,1,Taxable Goods,"Catalog, Search",195,,,,box-1-pc-10.5x10.5x3.5-silver-54P4215,"Silver Decorative Boxes, Retail Packaging Boxes",decorative boxes silver retail packaging corrugated boxes wholesale,"Decorative corrugated boxes for sale online, order decorative retail packaging boxes including these silver plated looking boxes at American Retail Supply.",/54P4215_base.jpg,Box 1-PC 10.5x10.5x3.5 Silver base image,/54P4215_base.jpg,Box 1-PC 10.5x10.5x3.5 Silver small image,/54P4215_base.jpg,Box 1-PC 10.5x10.5x3.5 Silver thumbnail,,,,,,,,1,0,1,base,0,0
54P4217,,Default,simple,Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/Silver Satin Plated Collection/Boxes & Packaging,Box 1-Piece 12x12x4 Silver,"<div>
<div><font size=2 face=""Verdana, Helvetica"">
<div><font size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Silver Plated look for these boxes is so elegant. Let your creativity go with the possibilities. Three bottle divider is item <a href=""http://arsv2.eporiaservices.com/22217/732233/Decorative-Corrugated-Boxes/Inserts-and-Dividers.html""><font color=#0000ff>54P4067</font></a>&nbsp;used in 54P3635 (<span id=ctl00_contentPH_dgItems_ctl07_VariantLabel>11 3/4"" x 14"" x 4 1/4"", 25 per pack).</span><br>Order&nbsp;boxes by the package.</span><br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Each package </span></font>has 50 boxes, unless otherwise listed.<br><br></font></div></font></div></div>",Silver Plated,70,1,Taxable Goods,"Catalog, Search",357,,,,box-1-piece-12x12x4-silver-54P4217,"Silver Decorative Boxes, Retail Packaging Boxes",decorative boxes silver retail packaging corrugated boxes wholesale,"Decorative corrugated boxes for sale online, order decorative retail packaging boxes including these silver plated looking boxes at American Retail Supply.",/54P4217_base.jpg,Box 1-Piece 12x12x4 Silver base image,/54P4217_base.jpg,Box 1-Piece 12x12x4 Silver small image,/54P4217_base.jpg,Box 1-Piece 12x12x4 Silver thumbnail,,,,,,,,1,0,1,base,0,0
