sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock,errors
56917A,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917A,,,,/56917A_base.jpg,"Bag Gift Frosty Tint base image",/56917A_base.jpg,"Bag Gift Frosty Tint small image",/56917A_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
56917CH,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917CH,,,,/56917CH_base.jpg,"Bag Gift Frosty Tint base image",/56917CH_base.jpg,"Bag Gift Frosty Tint small image",/56917CH_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
56917E,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917E,,,,/56917E_base.jpg,"Bag Gift Frosty Tint base image",/56917E_base.jpg,"Bag Gift Frosty Tint small image",/56917E_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
56917G,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917G,,,,/56917G_base.jpg,"Bag Gift Frosty Tint base image",/56917G_base.jpg,"Bag Gift Frosty Tint small image",/56917G_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
56917I,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917I,,,,/56917I_base.jpg,"Bag Gift Frosty Tint base image",/56917I_base.jpg,"Bag Gift Frosty Tint small image",/56917I_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
56917L,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917L,,,,/56917L_base.jpg,"Bag Gift Frosty Tint base image",/56917L_base.jpg,"Bag Gift Frosty Tint small image",/56917L_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
56917M,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917M,,,,/56917M_base.jpg,"Bag Gift Frosty Tint base image",/56917M_base.jpg,"Bag Gift Frosty Tint small image",/56917M_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
56917MB,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917MB,,,,/56917MB_base.jpg,"Bag Gift Frosty Tint base image",/56917MB_base.jpg,"Bag Gift Frosty Tint small image",/56917MB_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
56917R,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917R,,,,/56917R_base.jpg,"Bag Gift Frosty Tint base image",/56917R_base.jpg,"Bag Gift Frosty Tint small image",/56917R_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
56917SB,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bag Gift Frosty Tint","Bag Gift Frosty Tint",,0,1,"Taxable Goods","Catalog, Search",50.6,,,,bag-gift-frosty-tint-56917SB,,,,/56917SB_base.jpg,"Bag Gift Frosty Tint base image",/56917SB_base.jpg,"Bag Gift Frosty Tint small image",/56917SB_base.jpg,"Bag Gift Frosty Tint thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
