sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock
450613,,Default,simple,Default Category/No web item,"Peghook Reader Tab 3""","Peghook Reader Tab 3""",,0,0,Taxable Goods,"Catalog, Search",24.12,,,,"peghook-reader-tab-3""-450613",,,,/450613_base.jpg,"Peghook Reader Tab 3"" base image",/450613_base.jpg,"Peghook Reader Tab 3"" small image",/450613_base.jpg,"Peghook Reader Tab 3"" thumbnail",,,,,,,,1,0,1,base,0,0
45066,,Default,simple,Default Category/No web item,"Pegboard Scanner Hook 6"" 7","Pegboard Scanner Hook 6"" 7",,0,0,Taxable Goods,"Catalog, Search",48.59,,,,"pegboard-scanner-hook-6""-7-45066",,,,/45066_base.jpg,"Pegboard Scanner Hook 6"" 7 base image",/45066_base.jpg,"Pegboard Scanner Hook 6"" 7 small image",/45066_base.jpg,"Pegboard Scanner Hook 6"" 7 thumbnail",,,,,,,,1,0,1,base,0,0
45068,,Default,simple,Default Category/No web item,"Pegboard Scanner Hook 8"" 4","Pegboard Scanner Hook 8"" 4",,0,0,Taxable Goods,"Catalog, Search",81.16,,,,"pegboard-scanner-hook-8""-4-45068",,,,/45068_base.jpg,"Pegboard Scanner Hook 8"" 4 base image",/45068_base.jpg,"Pegboard Scanner Hook 8"" 4 small image",/45068_base.jpg,"Pegboard Scanner Hook 8"" 4 thumbnail",,,,,,,,1,0,1,base,0,0
450710,,Default,simple,Default Category/Racks; Shelving & Wall Systems/Pegboard/Single Wire Peg Hooks,"Peghook Med 10"" x .177 dia","<font color=#000000 size=2 face=""Verdana, Helvetica"">The Medium Duty Peg Board Hooks have a .177 diameter. A great addition to add to your retail store's peg board.<br>Sold 100 per package.</font>",Galvanized Ball Tip Medium Duty Peg Hook,13.34,1,Taxable Goods,"Catalog, Search",42.21,,,,"peghook-med-10""-x-.177-dia-450710",Pegboard Hooks - Galvanized Ball Tip Medium Duty Peg Hook,pegboard hooks peg hook galvanized ball tip pegboard hook,"Pegboard hooks for sale online including galvanized ball tip medium duty peg hook and more pegboard hooks, baskets and attachments.",/450710_base.jpg,"Peghook Med 10"" x .177 dia base image",/450710_base.jpg,"Peghook Med 10"" x .177 dia small image",/450710_base.jpg,"Peghook Med 10"" x .177 dia thumbnail",,,,,,,,1,0,1,base,0,0
450712,,Default,simple,Default Category/Racks; Shelving & Wall Systems/Pegboard/Single Wire Peg Hooks,"Peghook Med 12"" x .177 dia","<font color=#000000 size=2 face=""Verdana, Helvetica"">The Medium Duty Peg Board Hooks have a .177 diameter. A great addition to add to your retail store's peg board.<br>Sold 100 per package.</font>",Galvanized Ball Tip Medium Duty Peg Hook,15.525,1,Taxable Goods,"Catalog, Search",46.36,,,,"peghook-med-12""-x-.177-dia-450712",Pegboard Hooks - Galvanized Ball Tip Medium Duty Peg Hook,pegboard hooks peg hook galvanized ball tip pegboard hook,"Pegboard hooks for sale online including galvanized ball tip medium duty peg hook and more pegboard hooks, baskets and attachments.",/450712_base.jpg,"Peghook Med 12"" x .177 dia base image",/450712_base.jpg,"Peghook Med 12"" x .177 dia small image",/450712_base.jpg,"Peghook Med 12"" x .177 dia thumbnail",,,,,,,,1,0,1,base,0,0
45074,,Default,simple,Default Category/Racks; Shelving & Wall Systems/Pegboard/Single Wire Peg Hooks,"Peghook Med 4"" x .177 dia.","<font color=#000000 size=2 face=""Verdana, Helvetica"">The Medium Duty Peg Board Hooks have a .177 diameter. A great addition to add to your retail store's peg board.<br>Sold 100 per package.</font>",Galvanized Ball Tip Medium Duty Peg Hook,8.05,1,Taxable Goods,"Catalog, Search",27.87,,,,"peghook-med-4""-x-.177-dia.-45074",Pegboard Hooks - Galvanized Ball Tip Medium Duty Peg Hook,pegboard hooks peg hook galvanized ball tip pegboard hook,"Pegboard hooks for sale online including galvanized ball tip medium duty peg hook and more pegboard hooks, baskets and attachments.",/45074_base.jpg,"Peghook Med 4"" x .177 dia. base image",/45074_base.jpg,"Peghook Med 4"" x .177 dia. small image",/45074_base.jpg,"Peghook Med 4"" x .177 dia. thumbnail",,,,,,,,1,0,1,base,0,0
45076,,Default,simple,Default Category/Racks; Shelving & Wall Systems/Pegboard/Single Wire Peg Hooks,"Peghook Med 6"" x .177 dia.","<font color=#000000 size=2 face=""Verdana, Helvetica"">The Medium Duty Peg Board Hooks have a .177 diameter. A great addition to add to your retail store's peg board.<br>Sold 100 per package.</font>",Galvanized Ball Tip Medium Duty Peg Hook,9.867,1,Taxable Goods,"Catalog, Search",32.01,,,,"peghook-med-6""-x-.177-dia.-45076",Pegboard Hooks - Galvanized Ball Tip Medium Duty Peg Hook,pegboard hooks peg hook galvanized ball tip pegboard hook,"Pegboard hooks for sale online including galvanized ball tip medium duty peg hook and more pegboard hooks, baskets and attachments.",/45076_base.jpg,"Peghook Med 6"" x .177 dia. base image",/45076_base.jpg,"Peghook Med 6"" x .177 dia. small image",/45076_base.jpg,"Peghook Med 6"" x .177 dia. thumbnail",,,,,,,,1,0,1,base,0,0
45078,,Default,simple,Default Category/Racks; Shelving & Wall Systems/Pegboard/Single Wire Peg Hooks,"Peghook Med 8"" x .177 dia.","<font color=#000000 size=2 face=""Verdana, Helvetica"">The Medium Duty Peg Board Hooks have a .177 diameter. A great addition to add to your retail store's peg board.<br>Sold 100 per package.</font>",Galvanized Ball Tip Medium Duty Peg Hook,11.5,1,Taxable Goods,"Catalog, Search",42.27,,,,"peghook-med-8""-x-.177-dia.-45078",Pegboard Hooks - Galvanized Ball Tip Medium Duty Peg Hook,pegboard hooks peg hook galvanized ball tip pegboard hook,"Pegboard hooks for sale online including galvanized ball tip medium duty peg hook and more pegboard hooks, baskets and attachments.",/45078_base.jpg,"Peghook Med 8"" x .177 dia. base image",/45078_base.jpg,"Peghook Med 8"" x .177 dia. small image",/45078_base.jpg,"Peghook Med 8"" x .177 dia. thumbnail",,,,,,,,1,0,1,base,0,0
450810,,Default,simple,Default Category/No web item,Pegboard Attached Back Hook,Pegboard Attached Back Hook,,0,0,Taxable Goods,"Catalog, Search",28.04,,,,pegboard-attached-back-hook-450810,,,,/450810_base.jpg,Pegboard Attached Back Hook base image,/450810_base.jpg,Pegboard Attached Back Hook small image,/450810_base.jpg,Pegboard Attached Back Hook thumbnail,,,,,,,,1,0,1,base,0,0
450812,,Default,simple,Default Category/No web item,Pegboard Attached Back Hook,Pegboard Attached Back Hook,,0,0,Taxable Goods,"Catalog, Search",34.19,,,,pegboard-attached-back-hook-450812,,,,/450812_base.jpg,Pegboard Attached Back Hook base image,/450812_base.jpg,Pegboard Attached Back Hook small image,/450812_base.jpg,Pegboard Attached Back Hook thumbnail,,,,,,,,1,0,1,base,0,0
