sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock,errors
58S16078,,Default,simple,"Default Category/Shopping Bags/Place Holder","Shopper Frosted 16x6x12x6","Shopper Frosted 16x6x12x6",,0,1,"Taxable Goods","Catalog, Search",87.04,,,,shopper-frosted-16x6x12x6-58S16078,,,,/58S16078_base.jpg,"Shopper Frosted 16x6x12x6 base image",/58S16078_base.jpg,"Shopper Frosted 16x6x12x6 small image",/58S16078_base.jpg,"Shopper Frosted 16x6x12x6 thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
59002,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bags Paper 1 Pint Wine","Bags Paper 1 Pint Wine",,0,1,"Taxable Goods","Catalog, Search",38.43,,,,bags-paper-1-pint-wine-59002,,,,/59002_base.jpg,"Bags Paper 1 Pint Wine base image",/59002_base.jpg,"Bags Paper 1 Pint Wine small image",/59002_base.jpg,"Bags Paper 1 Pint Wine thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
590099D,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bags Paper Merch 5 x 7 1/2","Bags Paper Merch 5 x 7 1/2",,0,1,"Taxable Goods","Catalog, Search",41.73,,,,bags-paper-merch-5-x-7-12-590099D,,,,/590099D_base.jpg,"Bags Paper Merch 5 x 7 1/2 base image",/590099D_base.jpg,"Bags Paper Merch 5 x 7 1/2 small image",/590099D_base.jpg,"Bags Paper Merch 5 x 7 1/2 thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
59010,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bags Paper Merch 6.25x9.25 Cre","<font face=""Verdana, Helvetica""><font size=2>&nbsp; 
<p align=left>
<table style=""HEIGHT: 42px; WIDTH: 39px"" borderColor=#ce0a00 cellSpacing=3 cellPadding=3 align=left>
<tbody>
<tr>
<td><img style=""HEIGHT: 45px; BORDER-TOP-COLOR: ; WIDTH: 45px; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; LEFT: 2px; BORDER-RIGHT-COLOR: ; TOP: 9px"" hspace=2 vspace=2 src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg"" align=left></td>
<td><strong><font color=#008000 size=2 face=Tahoma></font></strong></td></tr></tbody></table><font color=#008000><font color=#000000>Mix or match these great colors to create impact. Perhaps use colors that match your store's logo or trademark</font>.<br><span style=""FONT-FAMILY: Verdana""><font size=2><font color=#000000>Order&nbsp;bags by the package.&nbsp;<br>Made in the U.S.A.<br><br><br></font></font></span></font></font></p></font>","Colored Paper Merchandise Bags",14.95,1,"Taxable Goods","Catalog, Search",51.98,,,,bags-paper-merch-6.25x9.25-cre-59010,"Paper Bags, Unprinted Paper Merchandise Bags in Natural Kraft Recycled Paper and White","paper bags paper merchandise bag recycled paper bags unprinted natural kraft white, recyclable","Paper merchandise bags, buy unprinted paper merchandise bags in natural Kraft recycled paper and Kraft and white paper bags for your retail store online.",/59010_base.jpg,"Bags Paper Merch 6.25x9.25 Cre base image",/59010_base.jpg,"Bags Paper Merch 6.25x9.25 Cre small image",/59010_base.jpg,"Bags Paper Merch 6.25x9.25 Cre thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
59011,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bags Paper Merch 6.25x9.25 Pur","<font face=""Verdana, Helvetica""><font size=2>&nbsp; 
<p align=left>
<table style=""HEIGHT: 42px; WIDTH: 39px"" borderColor=#ce0a00 cellSpacing=3 cellPadding=3 align=left>
<tbody>
<tr>
<td><img style=""HEIGHT: 45px; BORDER-TOP-COLOR: ; WIDTH: 45px; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; LEFT: 2px; BORDER-RIGHT-COLOR: ; TOP: 9px"" hspace=2 vspace=2 src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg"" align=left></td>
<td><strong><font color=#008000 size=2 face=Tahoma></font></strong></td></tr></tbody></table><font color=#008000><font color=#000000>Mix or match these great colors to create impact. Perhaps use colors that match your store's logo or trademark</font>.<br><span style=""FONT-FAMILY: Verdana""><font size=2><font color=#000000>Order&nbsp;bags by the package.&nbsp;<br>Made in the U.S.A.<br><br><br></font></font></span></font></font></p></font>","Colored Paper Merchandise Bags",14.95,1,"Taxable Goods","Catalog, Search",51.98,,,,bags-paper-merch-6.25x9.25-pur-59011,"Paper Bags, Unprinted Paper Merchandise Bags in Natural Kraft Recycled Paper and White","paper bags paper merchandise bag recycled paper bags unprinted natural kraft white, recyclable","Paper merchandise bags, buy unprinted paper merchandise bags in natural Kraft recycled paper and Kraft and white paper bags for your retail store online.",/59011_base.jpg,"Bags Paper Merch 6.25x9.25 Pur base image",/59011_base.jpg,"Bags Paper Merch 6.25x9.25 Pur small image",/59011_base.jpg,"Bags Paper Merch 6.25x9.25 Pur thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
59012,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bags Paper Merch 6.25x9.25 Ros","<font face=""Verdana, Helvetica""><font size=2>&nbsp; 
<p align=left>
<table style=""HEIGHT: 42px; WIDTH: 39px"" borderColor=#ce0a00 cellSpacing=3 cellPadding=3 align=left>
<tbody>
<tr>
<td><img style=""HEIGHT: 45px; BORDER-TOP-COLOR: ; WIDTH: 45px; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; LEFT: 2px; BORDER-RIGHT-COLOR: ; TOP: 9px"" hspace=2 vspace=2 src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg"" align=left></td>
<td><strong><font color=#008000 size=2 face=Tahoma></font></strong></td></tr></tbody></table><font color=#008000><font color=#000000>Mix or match these great colors to create impact. Perhaps use colors that match your store's logo or trademark</font>.<br><span style=""FONT-FAMILY: Verdana""><font size=2><font color=#000000>Order&nbsp;bags by the package.&nbsp;<br>Made in the U.S.A.<br><br><br></font></font></span></font></font></p></font>","Colored Paper Merchandise Bags",14.95,1,"Taxable Goods","Catalog, Search",51.98,,,,bags-paper-merch-6.25x9.25-ros-59012,"Paper Bags, Unprinted Paper Merchandise Bags in Natural Kraft Recycled Paper and White","paper bags paper merchandise bag recycled paper bags unprinted natural kraft white, recyclable","Paper merchandise bags, buy unprinted paper merchandise bags in natural Kraft recycled paper and Kraft and white paper bags for your retail store online.",/59012_base.jpg,"Bags Paper Merch 6.25x9.25 Ros base image",/59012_base.jpg,"Bags Paper Merch 6.25x9.25 Ros small image",/59012_base.jpg,"Bags Paper Merch 6.25x9.25 Ros thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
59013,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bags Paper Merch 6.25x9.25 Pin","<font face=""Verdana, Helvetica""><font size=2>&nbsp; 
<p align=left>
<table style=""HEIGHT: 42px; WIDTH: 39px"" borderColor=#ce0a00 cellSpacing=3 cellPadding=3 align=left>
<tbody>
<tr>
<td><img style=""HEIGHT: 45px; BORDER-TOP-COLOR: ; WIDTH: 45px; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; LEFT: 2px; BORDER-RIGHT-COLOR: ; TOP: 9px"" hspace=2 vspace=2 src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg"" align=left></td>
<td><strong><font color=#008000 size=2 face=Tahoma></font></strong></td></tr></tbody></table><font color=#008000><font color=#000000>Mix or match these great colors to create impact. Perhaps use colors that match your store's logo or trademark</font>.<br><span style=""FONT-FAMILY: Verdana""><font size=2><font color=#000000>Order&nbsp;bags by the package.&nbsp;<br>Made in the U.S.A.<br><br><br></font></font></span></font></font></p></font>","Colored Paper Merchandise Bags",14.95,1,"Taxable Goods","Catalog, Search",51.98,,,,bags-paper-merch-6.25x9.25-pin-59013,"Paper Bags, Unprinted Paper Merchandise Bags in Natural Kraft Recycled Paper and White","paper bags paper merchandise bag recycled paper bags unprinted natural kraft white, recyclable","Paper merchandise bags, buy unprinted paper merchandise bags in natural Kraft recycled paper and Kraft and white paper bags for your retail store online.",/59013_base.jpg,"Bags Paper Merch 6.25x9.25 Pin base image",/59013_base.jpg,"Bags Paper Merch 6.25x9.25 Pin small image",/59013_base.jpg,"Bags Paper Merch 6.25x9.25 Pin thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
59014,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bags Paper Merch 6.25x9.25 Red","<font face=""Verdana, Helvetica""><font size=2>&nbsp; 
<p align=left>
<table style=""HEIGHT: 42px; WIDTH: 39px"" borderColor=#ce0a00 cellSpacing=3 cellPadding=3 align=left>
<tbody>
<tr>
<td><img style=""HEIGHT: 45px; BORDER-TOP-COLOR: ; WIDTH: 45px; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; LEFT: 2px; BORDER-RIGHT-COLOR: ; TOP: 9px"" hspace=2 vspace=2 src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg"" align=left></td>
<td><strong><font color=#008000 size=2 face=Tahoma></font></strong></td></tr></tbody></table><font color=#008000><font color=#000000>Mix or match these great colors to create impact. Perhaps use colors that match your store's logo or trademark</font>.<br><span style=""FONT-FAMILY: Verdana""><font size=2><font color=#000000>Order&nbsp;bags by the package.&nbsp;<br>Made in the U.S.A.<br><br><br></font></font></span></font></font></p></font>","Colored Paper Merchandise Bags",14.95,1,"Taxable Goods","Catalog, Search",51.98,,,,bags-paper-merch-6.25x9.25-red-59014,"Paper Bags, Unprinted Paper Merchandise Bags in Natural Kraft Recycled Paper and White","paper bags paper merchandise bag recycled paper bags unprinted natural kraft white, recyclable","Paper merchandise bags, buy unprinted paper merchandise bags in natural Kraft recycled paper and Kraft and white paper bags for your retail store online.",/59014_base.jpg,"Bags Paper Merch 6.25x9.25 Red base image",/59014_base.jpg,"Bags Paper Merch 6.25x9.25 Red small image",/59014_base.jpg,"Bags Paper Merch 6.25x9.25 Red thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
59016,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bags Paper Merch 6.25x9.25 Yel","<font face=""Verdana, Helvetica""><font size=2>&nbsp; 
<p align=left>
<table style=""HEIGHT: 42px; WIDTH: 39px"" borderColor=#ce0a00 cellSpacing=3 cellPadding=3 align=left>
<tbody>
<tr>
<td><img style=""HEIGHT: 45px; BORDER-TOP-COLOR: ; WIDTH: 45px; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; LEFT: 2px; BORDER-RIGHT-COLOR: ; TOP: 9px"" hspace=2 vspace=2 src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg"" align=left></td>
<td><strong><font color=#008000 size=2 face=Tahoma></font></strong></td></tr></tbody></table><font color=#008000><font color=#000000>Mix or match these great colors to create impact. Perhaps use colors that match your store's logo or trademark</font>.<br><span style=""FONT-FAMILY: Verdana""><font size=2><font color=#000000>Order&nbsp;bags by the package.&nbsp;<br>Made in the U.S.A.<br><br><br></font></font></span></font></font></p></font>","Colored Paper Merchandise Bags",14.95,1,"Taxable Goods","Catalog, Search",51.98,,,,bags-paper-merch-6.25x9.25-yel-59016,"Paper Bags, Unprinted Paper Merchandise Bags in Natural Kraft Recycled Paper and White","paper bags paper merchandise bag recycled paper bags unprinted natural kraft white, recyclable","Paper merchandise bags, buy unprinted paper merchandise bags in natural Kraft recycled paper and Kraft and white paper bags for your retail store online.",/59016_base.jpg,"Bags Paper Merch 6.25x9.25 Yel base image",/59016_base.jpg,"Bags Paper Merch 6.25x9.25 Yel small image",/59016_base.jpg,"Bags Paper Merch 6.25x9.25 Yel thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5901B,,Default,simple,"Default Category/Shopping Bags/Place Holder","Bags Paper Merch 6.25x9.25 Blk","<font face=""Verdana, Helvetica""><font size=2>&nbsp; 
<p align=left>
<table style=""HEIGHT: 42px; WIDTH: 39px"" borderColor=#ce0a00 cellSpacing=3 cellPadding=3 align=left>
<tbody>
<tr>
<td><img style=""HEIGHT: 45px; BORDER-TOP-COLOR: ; WIDTH: 45px; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; LEFT: 2px; BORDER-RIGHT-COLOR: ; TOP: 9px"" hspace=2 vspace=2 src=""https://is7.eporia.com/company_8/527766.jpg?qlt=80&amp;cvt=jpeg"" align=left></td>
<td><strong><font color=#008000 size=2 face=Tahoma></font></strong></td></tr></tbody></table><font color=#008000><font color=#000000>Mix or match these great colors to create impact. Perhaps use colors that match your store's logo or trademark</font>.<br><span style=""FONT-FAMILY: Verdana""><font size=2><font color=#000000>Order&nbsp;bags by the package.&nbsp;<br>Made in the U.S.A.<br><br><br></font></font></span></font></font></p></font>","Colored Paper Merchandise Bags",14.95,1,"Taxable Goods","Catalog, Search",51.98,,,,bags-paper-merch-6.25x9.25-blk-5901B,"Paper Bags, Unprinted Paper Merchandise Bags in Natural Kraft Recycled Paper and White","paper bags paper merchandise bag recycled paper bags unprinted natural kraft white, recyclable","Paper merchandise bags, buy unprinted paper merchandise bags in natural Kraft recycled paper and Kraft and white paper bags for your retail store online.",/5901B_base.jpg,"Bags Paper Merch 6.25x9.25 Blk base image",/5901B_base.jpg,"Bags Paper Merch 6.25x9.25 Blk small image",/5901B_base.jpg,"Bags Paper Merch 6.25x9.25 Blk thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
